EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:35:43	4	0.0000	3.377463040927068	0.6243945956230164	0.0	0.0	0.0	0.0
2	16:36:32	4	0.0000	0.7080856795232052	0.3282710313796997	0.321	0.2422	0.2761	0.1737
3	16:37:19	4	0.0000	0.5373510012622623	0.21630412340164185	0.7029	0.6776	0.69	0.5671
4	16:38:09	4	0.0000	0.4586996417066767	0.15240445733070374	0.8217	0.8069	0.8142	0.7124
5	16:39:00	4	0.0000	0.40097014749766297	0.1199154257774353	0.8515	0.8445	0.848	0.7622
6	16:39:49	4	0.0000	0.3765803188738497	0.09973405301570892	0.8437	0.8658	0.8546	0.7689
7	16:40:39	4	0.0000	0.3568204475667981	0.08870381116867065	0.8638	0.8822	0.8729	0.7962
8	16:41:29	4	0.0000	0.34001825535562946	0.08162900060415268	0.8698	0.8854	0.8775	0.8039
9	16:42:18	4	0.0000	0.34752656345240734	0.07813958078622818	0.8778	0.8936	0.8856	0.8174
10	16:43:09	4	0.0000	0.3418716714641948	0.07711369544267654	0.875	0.8936	0.8842	0.8137
