EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:00:33	4	0.0000	4.2470634319969855	2.661572217941284	0.0	0.0	0.0	0.0
2	16:01:03	4	0.0000	1.3468518472374553	0.5679076313972473	0.0	0.0	0.0	0.0
3	16:01:33	4	0.0000	0.7465367184078446	0.41387104988098145	0.1583	0.0379	0.0612	0.0316
4	16:02:03	4	0.0000	0.6206329005453002	0.31314754486083984	0.3284	0.2216	0.2646	0.1724
5	16:02:35	4	0.0000	0.557558768558655	0.263390451669693	0.4719	0.3852	0.4242	0.2983
6	16:03:08	4	0.0000	0.5055981101387323	0.22800223529338837	0.4812	0.4591	0.4699	0.356
7	16:03:40	4	0.0000	0.469510500899118	0.2054937183856964	0.5414	0.5609	0.551	0.431
8	16:04:12	4	0.0000	0.46317873268052084	0.19210445880889893	0.5644	0.5948	0.5792	0.4642
9	16:04:45	4	0.0000	0.454630802869308	0.18316535651683807	0.5693	0.6068	0.5874	0.4713
10	16:05:17	4	0.0000	0.44194720667542203	0.18015457689762115	0.5835	0.6208	0.6015	0.4898
